施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
ウィズブック保育園大森海岸	2016	0	0	""	2	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
ウィズブック保育園大森海岸	2016	1	2	""	0	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園中延	2016	0	0	""	1	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園中延	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園ふどうまえ	2016	0	0	""	2	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園ふどうまえ	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
おうちおおいまち	2016	0	0	""	2	40	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうちおおいまち	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
おうち保育園ごたんだ	2016	0	0	""	3	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうち保育園ごたんだ	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
五反田せせらぎ	2016	0	0	""	3	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田せせらぎ	2016	1	2	""	0	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
こどもヶ丘保育園大井町園	2016	0	0	""	1	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
こどもヶ丘保育園大井町園	2016	1	2	""	0	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーチャイルドとごし	2016	0	0	""	3	32	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーチャイルドとごし	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
サニーチャイルドにしおおい	2016	0	0	""	3	39	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーチャイルドにしおおい	2016	1	2	""	3	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
しいのみ	2016	0	0	""	1	36	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
しいのみ	2016	1	2	""	0	25	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー荏原中延	2016	0	0	""	1	38	D6	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー荏原中延	2016	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー西五反田	2016	0	0	""	2	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー西五反田	2016	1	2	""	0	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー武蔵小山	2016	0	0	""	1	40	D15	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー武蔵小山	2016	1	2	""	0	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
ナーサリーおひさま	2016	0	0	""	0	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
ナーサリーおひさま	2016	1	2	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ荏原町	2016	0	0	""	2	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ荏原町	2016	1	2	""	0	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ西大井	2016	0	0	""	1	39	D17	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ西大井	2016	1	2	""	0	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
保育ﾙｰﾑClover西小山園	2016	0	0	""	6	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
保育ﾙｰﾑClover西小山園	2016	1	2	""	25	40	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
星のおうち戸越銀座	2016	0	0	""	1	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
星のおうち戸越銀座	2016	1	2	""	0	40	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
まちの保育園えばら	2016	0	0	""	3	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
まちの保育園えばら	2016	1	2	""	1	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
めるへんキッズ戸越	2016	0	0	""	4	40	D25	""	http://statdb.nstac.go.jp/lod/sac/C13109
めるへんキッズ戸越	2016	1	2	""	1	35	D5	""	http://statdb.nstac.go.jp/lod/sac/C13109
