施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
一本橋保育園	2016	0	0	""	5	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2016	1	1	""	8	43	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2016	2	2	""	2	42	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2016	3	3	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2016	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2016	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	0	0	""	7	40	D15	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	1	1	""	6	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	2	2	""	2	41	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	3	3	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2016	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	1	1	""	21	42	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	2	2	""	2	42	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	3	3	""	0	41	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	4	4	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2016	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	0	0	""	8	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	1	1	""	5	43	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	2	2	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	3	3	""	0	42	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2016	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	0	0	""	9	40	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	1	1	""	6	43	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	2	2	""	2	43	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	3	3	""	0	46	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	4	4	""	0	32	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2016	5	5	""	0	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	0	0	""	0	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	1	1	""	23	40	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	2	2	""	2	42	D4	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	3	3	""	0	41	D23	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2016	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	0	0	""	11	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	1	1	""	4	43	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	2	2	""	3	42	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2016	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2016	0	0	""	11	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2016	1	1	""	8	41	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2016	2	2	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2016	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
