施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
北品川保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	0	0	""	9	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	1	1	""	5	42	D17	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	2	2	""	4	30	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	3	3	""	2	41	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	0	0	""	8	41	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	1	1	""	7	43	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	2	2	""	3	42	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	3	3	""	2	41	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
源氏前保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	0	0	""	12	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	1	1	""	5	43	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	2	2	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	3	3	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
五反田保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
五反田第二保育園	2017	0	0	""	6	41	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田第二保育園	2017	1	1	""	6	46	D25	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田第二保育園	2017	2	2	""	3	43	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田第二保育園	2017	3	3	""	2	42	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田第二保育園	2017	4	4	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
